ID,category,name,country,birth_year,dead_or_alive,Died,gender,Major teams
33773,Cricket,Syed Shahabuddin,India,1979,Alive,,Male,"['Andhra,', 'Hyderabad Heroes,', 'Mumbai Indians']"
35940,Cricket,Syed Wazir Ali,India,1903,Dead,"June 17, 1950, Karachi, Sind, Pakistan (aged 46 years 275 days) ",Male,"['India,', 'Central India,', ""Maharaja of Patiala's XI,"", 'Muslims,', 'Sind,', 'Southern Punjab']"
1079860,Cricket,Tajinder Singh,India,1992,Alive,,Male,"['Mumbai Indians,', 'Rajasthan']"
1080008,Cricket,Tanay Thyagarajan,India,1995,Alive,,Male,"['Hyderabad (India),', 'Hyderabad Under-19s,', 'Hyderabad Under-22s']"
32597,Cricket,Tangirala Pawan Kumar,India,1970,Alive,,Male,"['Andhra,', 'Hyderabad (India)']"
883423,Cricket,Taniya Bhatia,India,1997,Alive,,Female,"['India Green Women,', 'India Women,', 'Punjab Women (India)']"
792725,Cricket,Tanmay Agarwal,India,1995,Alive,,Male,"['Hyderabad (India),', 'Hyderabad Under-14s,', 'Hyderabad Under-16s,', 'Hyderabad Under-19s,', 'Hyderabad Under-22s,', 'Hyderabad Under-25s,', 'Sunrisers Hyderabad']"
35401,Cricket,Tanmay Srivastava,India,1989,Alive,,Male,"['Deccan Chargers,', 'India Blue,', 'India Under-19s,', 'Kings XI Punjab,', 'Kochi Tuskers Kerala,', 'Uttar Pradesh,', 'Uttar Pradesh Under-14s']"
1175123,Cricket,Tanuja Kanwar,India,1998,Alive,,Female,"['Himachal Pradesh Women,', ""Indian Board President's Women XI""]"
1125960,Cricket,Tanush Kotian,India,1998,Alive,,Male,India Under-19s
799383,Cricket,Tanusree Sarkar,India,1998,Alive,,Female,India A Women
331855,Cricket,Taruwar Kohli,India,1988,Alive,,Male,"['India Under-19s,', 'Kings XI Punjab,', 'Mizoram,', 'Rajasthan Royals']"
35497,Cricket,Tawakkal Majeed,India,1898,Dead,"March 30, 1981, Lahore, Punjab (aged 83 years 5 days) ",Male,Punjab Governor's XI (India)
34317,Cricket,Ted Sale,India,1871,Dead,"September 2, 1920, Aldington, Kent, England (aged 49 years 77 days) ",Male,Europeans (India)
798119,Cricket,Tejal Hasabnis,India,1997,Alive,,Female,"['India A Women,', 'Maharashtra Women']"
10255,Cricket,Terence Battersby,England,1893,Dead,"January 10, 1972, Goring Heath, Berkshire (aged 78 years 73 days) ",Male,"['Army,', 'Europeans (India)']"
33521,Cricket,Thakore Saheb of Rajkot,India,1913,Dead,"November 9, 1973, Rajkot, Gujarat (aged 60 years 258 days) ",Male,"['Kathiawar,', 'Saurashtra,', 'Western India']"
33891,Cricket,Thirumalai Sekhar,India,1956,Alive,,Male,"['India,', 'Madhya Pradesh,', 'Tamil Nadu']"
30157,Cricket,Thirunavukkarasu Kumaran,India,1975,Alive,,Male,"['India,', 'Chennai Superstars,', 'ICL India XI,', 'Tamil Nadu']"
220728,Cricket,Thirush Kamini,India,1990,Alive,,Female,"['India Red Women,', 'India Under-21s Women,', 'India Women']"
233514,Cricket,Thisara Perera,Sri Lanka,1989,Alive,,Male,"['Sri Lanka,', 'Chennai Super Kings,', 'Colts Cricket Club,', 'Gloucestershire,', 'Guyana Amazon Warriors,', 'ICC World XI,', 'Kings XI Punjab,', 'Kochi Tuskers Kerala,', 'Melbourne Renegades,', 'Montreal Tigers,', 'Multan Sultans,', 'Mumbai Indians,', 'Quetta Gladiators,', 'Rising Pune Supergiants,', 'Sri Lanka A,', 'Sri Lanka Under-19s,', 'St Kitts and Nevis Patriots,', 'Sunrisers Hyderabad,', 'Wayamba,', 'World-XI']"
10961,Cricket,Thomas Cuming,England,1893,Dead,"August 18, 1960, Cooden Beach, Bexhill, Sussex (aged 67 years 119 days) ",Male,"['Ceylon,', 'Europeans (India),', 'Middlesex']"
14241,Cricket,Thomas Hollingworth,England,1907,Dead,"October 2, 1973, Topsham, Devon (aged 66 years 67 days) ",Male,"['Europeans (India),', 'Hampshire']"
